ACCELERATOR,BRAKE,GEAR,STEERING,ANGLE,CURRENT_LAP_TIME,DAMAGE,DISTANCE_FROM_START,DISTANCE_RACED,LAST_LAP_TIME,OPPONENT_1,OPPONENT_2,OPPONENT_3,OPPONENT_4,OPPONENT_5,OPPONENT_6,OPPONENT_7,OPPONENT_8,OPPONENT_9,OPPONENT_10,OPPONENT_11,OPPONENT_12,OPPONENT_13,OPPONENT_14,OPPONENT_15,OPPONENT_16,OPPONENT_18,OPPONENT_19,OPPONENT_20,OPPONENT_21,OPPONENT_22,OPPONENT_23,OPPONENT_24,OPPONENT_25,OPPONENT_26,OPPONENT_27,OPPONENT_28,OPPONENT_29,OPPONENT_30,OPPONENT_31,OPPONENT_32,OPPONENT_33,OPPONENT_34,OPPONENT_35,OPPONENT_36,RACE_POSITION,RPM,SPEED_X,SPEED_Y,SPEED_Z,DISTANCE_FROM_CENTER,CENTR_OF_MASS_DISTANCE,WHEEL_V_1,WHEEL_V_2,WHEEL_V_3,WHEEL_V_4,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
10000.0,0.0,-1,0.0,0.8593049124033547,-0.782,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,942.478,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.762,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1100.33,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.742,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1263.95,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.722,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1432.32,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.702,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1605.57,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.682,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1783.85,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.662,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,1967.31,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.642,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,2156.5,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,-1,0.0,0.8593049124033547,-0.622,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,2359.56,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.602,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,2580.78,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.582,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,2821.75,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.562,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,3084.25,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.542,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,3368.7,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.522,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,3672.92,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.502,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,3998.1,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.482,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,4345.29,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.462,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,4712.09,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.442,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,5098.62,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.422,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,5504.72,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.402,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,5926.31,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
10000.0,0.0,1,0.0,0.8593049124033547,-0.382,0,1952.56,0.0,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 73.0011, 56.0865, 38.0431, 19.2174, 200.0, 200.0, 11.1658, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0,9,6363.39,-0.0038567500000000004,0.013287583333333334,-0.002461566666666667,0.335829,0.34637,0.0,0.0,136.87159584762185,-133.36051047906017,4.98188,5.19515,5.88781,7.48462,12.0672,66.2044,58.0179,50.3165,43.2989,37.1164,31.8429,27.4647,23.8991,21.0266,16.8711,13.1987,11.2487,10.2897,10.0197
